Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),DEFCON_Level,ID
8,1,0.1,3,45,54,0.472099853,369.94,1,915200,3,9405
9,1,0.5,2,3,8,0.370778267,337.08,1,1038400,3,7696
8,1,0.08,2,5,11,0.457415565,375.24,0,836000,1,8857
8,1,0.2,2,23,105,0.406020558,351.92,1,871200,2,4658
8,1,0.03,2,27,90,0.475770925,343.44,1,880000,3,10726
11,0,0.74,3,12,32,0.508810573,320.12,1,976800,3,11104
9,0,0.41,6,12,28,0.552863436,352.98,0,1064800,4,667
9,0,0.52,2,16,40,0.604258443,361.46,1,897600,3,1062
7,0,0.07,2,40,48,0.472099853,367.82,1,888800,2,5316
8,0,0.6,2,16,43,0.494126285,349.8,1,827200,2,8683
11,0,0.73,5,6,24,0.494126285,347.68,1,1100000,3,2727
12,0,0.49,1,5,24,0.685022026,328.6,1,862400,3,290
6,0,0.25,2,14,26,0.538179148,366.76,1,853600,3,5441
5,0,0,1,25,60,0.110132159,378.42,1,1029600,3,9677
10,0,0.42,3,6,22,0.773127753,340.26,1,959200,4,741
8,1,0.21,2,32,141,0.450073421,345.56,1,836000,3,410
6,1,0.02,2,9,22,0.398678414,364.64,1,994400,3,141
10,0,0.38,2,14,36,0.445668135,334.96,1,1056000,4,4454
10,0,0.46,2,6,14,0.516152717,322.24,1,906400,2,2238
6,1,0.01,2,17,59,0.459618209,390.08,1,1012000,3,3004
6,0,0.24,2,5,12,0.420704846,354.04,0,853600,2,5091
9,0,0.44,2,10,26,0.353157122,340.26,1,1170400,3,8763
9,1,0.49,3,11,16,0.72907489,368.88,1,880000,2,11916
10,0,0.47,2,13,33,0.604258443,333.9,1,836000,2,5228
7,0,0.02,2,18,26,0.179882526,349.8,1,1135200,3,7441
9,0,0.52,2,9,20,0.28267254,333.9,1,1038400,3,8201
9,0,0.44,2,11,43,0.611600587,354.04,1,800800,3,4164
8,0,0.35,2,10,47,0.567547724,363.58,1,818400,3,7332
6,1,0.01,4,11,18,0.494126285,377.36,1,836000,2,3200
12,1,0.58,4,19,112,0.567547724,333.9,1,818400,2,11284
7,1,0.13,2,18,22,0.316446402,349.8,1,1038400,3,4125
13,1,0.65,6,7,17,0.960352423,344.5,1,976800,2,10398
8,1,0.06,4,3,8,0.204845815,360.4,1,1073600,2,3080
12,0,0.49,3,26,55,0.677679883,330.72,1,836000,2,10764
12,0,0.51,3,10,24,0.773127753,345.56,1,827200,2,9362
7,1,0.01,2,17,43,0.406020558,362.52,1,976800,3,1905
8,0,0.46,2,28,48,0.356093979,354.04,1,1003200,3,9959
7,1,0.12,11,40,124,0.572687225,366.76,1,827200,2,2507
8,1,0,2,19,41,0.567547724,360.4,1,906400,3,7229
9,1,0,2,4,11,0.484581498,348.74,1,915200,2,3986
9,0,0.41,6,12,52,0.524963289,350.86,1,1064800,4,5310
8,1,0.23,3,17,96,0.497797357,340.26,1,827200,3,7699
7,1,0,2,16,27,0.406020558,379.48,1,1003200,3,6550
9,1,0.17,4,11,104,0.646842878,343.44,0,924000,3,1332
9,1,0.51,2,37,141,0.552863436,326.48,1,827200,2,2628
12,0,0.5,2,19,41,0.534508076,320.12,1,932800,2,1228
8,1,0.07,6,26,73,0.5969163,345.56,1,814000,2,6932
8,0,0.21,2,46,102,0.425110132,355.1,0,871200,2,2810
8,0,0.38,2,3,14,0.167400881,341.32,1,1170400,4,5298
9,0,0.57,3,3,10,0.633627019,350.86,1,924000,4,9922
7,1,0.03,2,7,25,0.622613803,390.08,1,844800,3,1808
8,0,0.23,2,23,66,0.453744493,369.94,1,888800,3,11433
8,1,0.34,2,24,120,0.538179148,340.26,1,827200,2,11401
7,1,0.16,2,8,62,0.479441997,362.52,1,959200,1,2318
8,0,0.29,2,27,45,0.589574156,362.52,1,836000,3,10922
12,0,0.49,3,28,46,0.736417034,338.14,1,853600,4,10477
11,0,0.64,2,6,22,0.633627019,336.02,1,844800,2,1115
10,0,0.23,3,10,33,0.626284875,343.44,1,871200,3,3242
9,0,0.57,3,3,10,0.477973568,346.62,1,968000,4,7591
6,1,0,2,7,19,0.250367107,379.48,1,1064800,2,4173
9,0,0.3,3,30,119,0.508810573,337.08,1,871200,3,591
10,0,0.43,3,22,78,0.5969163,345.56,1,941600,2,8446
7,0,0.32,2,21,42,0.329662261,342.38,1,1091200,3,1368
8,0,0.34,5,10,48,0.567547724,363.58,1,880000,3,10424
7,0,0.32,2,15,36,0.442731278,347.68,1,871200,3,11985
8,0,0.37,2,43,68,0.435389134,349.8,1,985600,3,1728
12,0,0.49,2,8,19,0.674008811,338.14,1,959200,2,11160
8,1,0.08,2,9,108,0.361967695,331.78,1,862400,2,5500
11,0,0.58,2,7,21,0.633627019,345.56,1,950400,4,1089
8,0,0.52,2,19,121,0.376651982,344.5,1,968000,3,11238
9,0,0.49,2,23,85,0.567547724,348.74,1,888800,3,5616
7,1,0,2,9,15,0.228340675,351.92,1,1064800,4,5440
12,0,0.54,2,6,14,0.494126285,315.88,1,897600,1,705
7,0,0.1,2,4,7,0.457415565,352.98,1,809600,2,4149
7,0,0.44,2,9,20,0.522760646,348.74,1,827200,2,11776
8,1,0.29,2,9,63,0.543318649,344.5,1,853600,2,6399
7,0,0.11,3,14,28,0.486784141,365.7,1,968000,2,8680
10,0,0.54,3,14,23,0.494126285,362.52,1,1029600,3,8801
10,1,0.23,3,20,23,0.758443465,333.9,1,844800,2,11604
16,0,0.79,4,9,43,0.831864905,319.06,1,1056000,3,6133
10,0,0.52,7,38,82,0.626284875,336.02,1,818400,2,1107
13,0,0.55,2,5,47,0.685022026,321.18,1,862400,3,9350
11,0,0.44,4,7,15,0.582232012,343.44,1,1029600,4,2649
9,0,0.57,2,18,44,0.452276065,364.64,1,1020800,3,4767
8,1,0.01,2,5,9,0.344346549,356.16,0,880000,2,4289
12,1,0.66,2,12,23,0.420704846,305.28,2,1091200,4,10671
9,1,0.33,3,24,81,0.71071953,337.08,1,827200,1,12155
7,1,0,4,32,87,0.604258443,341.32,0,836000,2,1604
8,1,0.02,2,13,26,0.372246696,351.92,1,915200,3,11013
8,1,0,2,5,18,0.361967695,351.92,0,924000,2,11350
10,0,0.45,2,16,29,0.406020558,332.84,1,1003200,3,1026
8,0,0.23,2,16,24,0.376651982,331.78,1,818400,3,10330
8,0,0.6,3,6,19,0.532305433,356.16,1,994400,3,11442
9,1,0.37,1,5,62,0.655653451,359.34,1,924000,2,4930
8,1,0,2,6,14,0.464757709,358.28,1,862400,1,1865
7,1,0,2,22,58,0.52349486,334.96,1,818400,2,3716
8,1,0.06,4,11,29,0.538179148,351.92,1,800800,2,5395
10,0,0.43,2,5,16,0.496328928,343.44,1,959200,3,3194
7,0,0.24,2,27,51,0.42804699,357.22,1,862400,3,3611
7,1,0.06,2,12,20,0.43979442,374.18,1,1029600,3,1218
13,0,0.62,2,6,16,0.773127753,336.02,0,739200,3,499
11,0,0.49,2,6,15,0.640969163,311.64,2,818400,2,6713
8,0,0.5,2,6,11,0.294419971,319.06,1,1047200,4,10714
6,1,0.02,2,15,33,0.290014684,381.6,1,1117600,3,8971
7,0,0.48,2,7,20,0.439060206,352.98,1,827200,3,8764
7,0,0,2,27,44,0.426578561,356.16,1,1029600,5,6536
6,1,0,2,3,11,0.508810573,393.26,0,844800,2,9657
9,0,0.64,5,3,10,0.594713656,346.62,1,968000,3,1981
10,0,0.47,2,6,12,0.424375918,339.2,1,1003200,4,1451
8,1,0,2,6,14,0.464757709,348.74,1,880000,3,608
7,1,0.05,2,24,42,0.380323054,372.06,1,1082400,3,3504
9,1,0.51,2,27,81,0.516152717,347.68,1,941600,3,9145
12,0,0.69,3,10,23,0.743759178,338.14,1,853600,4,6193
12,0,0.58,2,3,8,0.72907489,343.44,0,809600,2,752
10,0,0.46,2,5,17,0.40969163,337.08,1,932800,3,3755
8,1,0.1,6,14,113,0.666666667,350.86,1,827200,2,349
8,1,0.33,2,8,54,0.538179148,345.56,1,836000,3,1379
9,1,0,3,13,24,0.598384728,350.86,1,932800,3,5685
8,0,0.28,2,19,66,0.497797357,350.86,1,836000,2,8131
6,1,0.1,3,18,35,0.241556535,379.48,1,1082400,2,7766
10,1,0.42,2,26,99,0.52349486,339.2,1,809600,2,12114
7,1,0.01,2,9,22,0.406020558,376.3,1,1012000,4,1281
7,1,0.01,2,17,29,0.372246696,354.04,1,968000,3,1484
7,1,0.04,2,20,92,0.542584435,374.18,1,853600,2,3885
7,1,0.08,2,8,19,0.435389134,362.52,1,968000,2,11042
7,1,0,1,3,13,0.457415565,344.5,0,853600,2,1683
7,1,0.15,2,19,40,0.442731278,360.4,1,888800,2,10246
6,0,0.19,2,15,37,0.33773862,379.48,1,1029600,3,3171
9,1,0.24,2,7,28,0.593245228,346.62,1,871200,2,673
9,0,0.23,3,21,125,0.611600587,350.86,1,827200,2,3654
9,0,0.53,2,6,18,0.574889868,340.26,1,924000,2,11099
7,0,0.18,2,5.5,14,0.346549192,355.1,1,862400,2,1510
7,0,0.49,2,6,12,0.398678414,346.62,1,1003200,2,1697
10,0,0.38,2,34,58,0.325991189,322.24,1,1056000,3,4974
7,0,0.31,4,12,46,0.57195301,348.74,1,924000,2,9425
10,1,0.33,2,35,147,0.582232012,333.9,1,809600,2,10322
7,0,0.32,2,4,15,0.34287812,355.1,1,1029600,4,5854
11,0,0.37,2,14,25,0.626284875,306.34,1,880000,3,8577
9,0,0.38,2,19,133,0.501468429,310.58,1,871200,4,2536
7,1,0.05,2,20,49,0.380323054,372.06,1,1012000,4,2561
6,0,0.03,2,36,64,0.42804699,371,1,968000,3,8492
8,1,0.25,2,34,102,0.382525698,359.34,1,950400,3,941
6,1,0.09,2,15,64,0.459618209,375.24,1,968000,3,11515
7,1,0.03,2,7,12,0.36784141,374.18,1,1029600,3,10280
8,0,0.4,5,3,9,0.503671072,358.28,1,1126400,3,9211
10,0,0.38,3,34,55,0.5969163,332.84,0,880000,1,1287
9,0,0.44,2,34,48,0.310572687,343.44,1,1038400,3,546
10,0,0.24,3,13,32,0.703377386,347.68,1,827200,3,3590
7,1,0.02,2,18,30,0.408957416,355.1,1,836000,3,4628
13,1,0.45,2,11,41,0.773127753,315.88,1,739200,3,10973
10,0,0.52,2,7,21,0.567547724,323.3,1,1003200,4,6583
9,0,0.3,2,32,53,0.501468429,352.98,1,906400,3,3663
10,0,0.38,2,34,75,0.527900147,345.56,1,827200,2,10710
10,0,0.48,1,5,14,0.685022026,346.62,1,906400,4,2735
8,1,0,2,8,17,0.411894273,357.22,0,959200,2,7659
7,0,0.29,2,20,37,0.253303965,355.1,1,1091200,3,2323
9,0,0.44,2,34,59,0.358296623,333.9,1,985600,3,12357
8,1,0.12,2,7,16,0.534508076,357.22,1,844800,3,6136
12,1,0.5,3,19,112,0.746696035,345.56,1,968000,2,6537
7,1,0.33,2,9,105,0.447136564,334.96,1,862400,3,2347
12,0,0.53,3,29,68,0.743759178,330.72,1,809600,2,3502
13,0,0.52,2,13,32,0.684287812,315.88,1,880000,3,5626
13,1,0.63,4,7,21,0.960352423,344.5,1,950400,2,4993
9,1,0,1,5,14,0.662995595,357.22,0,880000,2,2716
9,1,0.26,2,32,73,0.479441997,359.34,1,818400,2,2745
8,0,0.3,2,2,23,0.316446402,341.32,1,994400,5,5924
10,0,0.52,2,13,32,0.435389134,343.44,1,1056000,4,568
5,0,0.25,2,5,12,0.244493392,393.26,1,1082400,3,5847
8,0,0.52,2,7,24,0.486784141,327.54,1,827200,2,10665
8,1,0.2,3,10,38,0.584434655,368.88,0,880000,2,849
10,1,0.34,3,5,62,0.534508076,332.84,1,906400,3,4853
10,1,0.44,3,21,84,0.71071953,356.16,1,959200,2,9206
7,0,0.29,2,26,48,0.483847283,349.8,1,836000,2,325
11,0,0.59,2,7,45,0.618942731,324.36,1,844800,2,8770
11,0,0.49,3,5,16,0.510279001,330.72,1,994400,3,11259
8,0,0.56,3,32,98,0.618942731,368.88,1,862400,3,11998
6,1,0.03,2,7,12,0.399412628,377.36,1,915200,2,3662
9,0,0.4,1,6,10,0.254772394,340.26,1,1126400,4,5866
7,1,0.12,2,34,46,0.386196769,352.98,1,959200,2,11835
6,1,0.15,4,16,45,0.491923642,359.34,0,924000,2,1932
7,1,0.1,1,12,28,0.395741557,356.16,1,836000,2,5260
9,0,0.43,2,22,29,0.351688693,343.44,1,994400,4,6686
10,1,0.44,2,26,70,0.582232012,340.26,1,827200,3,9291
8,0,0.25,4,10,31,0.545521292,354.04,1,818400,3,973
9,1,0.31,3,25,88,0.611600587,350.86,1,836000,3,1443
9,1,0.24,3,20,69,0.640969163,333.9,1,800800,3,226
11,1,0.43,2,29,70,0.52349486,334.96,1,924000,3,5926
10,0,0.5,3,11,32,0.582232012,356.16,1,1100000,3,10716
8,1,0.27,2,11,40,0.611600587,362.52,1,809600,2,1329
8,1,0.23,2,9,38,0.446402349,354.04,1,853600,2,9989
8,1,0.02,1,9,25,0.347283407,356.16,1,906400,3,4984
7,1,0.02,2,6,12,0.450073421,361.46,0,853600,1,1047
6,0,0.21,2,57,74,0.317914831,359.34,0,985600,3,10290
8,1,0.25,2,21,84,0.425110132,345.56,0,809600,2,6819
7,1,0.02,2,15,21,0.414831131,355.1,1,809600,3,1452
10,0,0.37,2,27,64,0.53010279,347.68,1,827200,2,10673
6,1,0.04,2,6,18,0.398678414,356.16,1,880000,2,5905
6,1,0,2,3,14,0.508810573,374.18,1,818400,3,341
13,1,0.66,3,6,19,0.787812041,327.54,1,906400,2,10723
9,0,0.51,2,18,40,0.604258443,352.98,1,880000,3,360
8,0,0.4,2,38,127,0.472099853,342.38,1,1003200,2,12037
11,1,0.43,2,26,56,0.582232012,321.18,1,792000,2,3034
10,0,0.41,2,5,12,0.507342144,340.26,1,959200,4,2059
8,1,0.05,2,12,22,0.457415565,346.62,1,836000,2,11609
8,0,0.57,2,22,57,0.501468429,324.36,1,792000,3,9589
6,1,0.08,2,24,31,0.290014684,376.3,1,1100000,3,12400
7,1,0.02,2,31,111,0.42804699,352.98,1,973866.6667,3,1893
7,1,0.12,2,13,26,0.417033774,352.98,1,827200,2,7545
11,0,0.39,2,8,22,0.582232012,350.86,1,924000,3,3290
10,1,0.42,2,12,89,0.5969163,348.74,1,818400,2,5309
9,0,0.35,2,6,12,0.373715125,349.8,1,1029600,5,11138
8,1,0,2,5,12,0.464757709,375.24,0,1003200,3,10933
9,1,0.22,2,8,27,0.509544787,346.62,0,818400,2,3564
8,1,0.24,2,5,21,0.450073421,345.56,0,836000,1,2732
8,1,0,3,25,44,0.552863436,354.04,1,818400,3,10087
6,0,0.16,2,11,18,0.359030837,340.26,1,959200,3,2932
11,0,0.48,3,17,47,0.626284875,326.48,1,932800,2,6158
7,0,0.18,2,7,24,0.396475771,360.4,1,888800,4,9052
11,0,0.45,3,5,19,0.52349486,332.84,1,968000,3,11751
7,1,0.06,2,9,44,0.417767988,358.28,1,924000,2,2481
8,0,0.42,2,12,19,0.582232012,349.8,1,880000,3,12448
8,0,0.09,2,9,48,0.494126285,340.26,1,906400,2,1166
8,1,0.29,2,9,41,0.538179148,345.56,1,844800,3,9334
7,1,0.12,2,34,47,0.386196769,330.72,0,862400,2,9853
8,0,0.14,3,33,73,0.516152717,345.56,1,836000,2,10095
10,0,0.46,2,14,43,0.435389134,332.84,1,932800,4,154
11,1,0.3,3,22,70,0.418502203,316.94,1,915200,2,4238
7,0,0.34,2,14,143,0.494126285,345.56,1,818400,2,9581
11,0,0.45,2,6,16,0.589574156,347.68,1,924000,2,9493
7,1,0,3,21,31,0.486784141,373.12,1,836000,2,6248
8,1,0.2,2,34,89,0.406020558,350.86,0,871200,2,4680
7,0,0.36,2,16,38,0.339941263,361.46,1,959200,3,3413
8,1,0,2,6,9,0.486784141,356.16,1,862400,1,7647
9,0,0.49,2,23,67,0.452276065,318,1,1003200,2,954
7,1,0.03,2,36,64,0.36123348,373.12,1,950400,2,4552
11,0,0.57,2,3,8,0.339941263,337.08,1,1003200,2,2445
10,0,0.54,2,25,83,0.5969163,342.38,1,844800,2,4351
8,0,0.44,2,28,73,0.450073421,356.16,1,924000,3,7228
8,1,0.05,2,8,20,0.457415565,352.98,1,880000,3,10365
12,0,0.66,8,38,160,0.758443465,351.92,1,818400,2,10905
7,1,0.05,4,6,14,0.495594714,355.1,1,985600,1,11187
8,0,0.48,2,29,48,0.382525698,358.28,1,1038400,4,3361
8,1,0.02,3,6,10,0.5969163,341.32,1,836000,2,9680
6,0,0.03,2,17,88,0.253303965,384.78,1,1047200,3,1894
7,1,0.23,2,10,72,0.494126285,352.98,1,836000,1,5467
13,0,0.66,2,6,16,0.633627019,318,1,897600,2,5418
8,1,0.21,2,14,35,0.535242291,354.04,1,827200,2,9294
10,0,0.47,2,13,25,0.368575624,348.74,1,1100000,4,9978
7,1,0.03,2,27,90,0.457415565,354.04,1,809600,3,12162
8,0,0.42,2,12,19,0.313509545,358.28,1,985600,4,7915
6,1,0,2,9,22,0.33773862,354.04,1,968000,3,2774
8,1,0.12,2,11,35,0.486784141,343.44,1,862400,3,5447
5,1,0.24,2,18,98,0.171071953,375.24,1,1100000,5,12311
7,1,0.02,2,8,13,0.360499266,365.7,1,888800,3,11634
12,0,0.51,2,3,8,0.743759178,344.5,0,836000,3,1532
8,0,0.68,2,16,80,0.508810573,326.48,1,792000,2,3225
8,0,0.26,2,23,38,0.253303965,328.6,1,1091200,4,3857
8,1,0.2,8,40,121,0.5969163,368.88,1,827200,2,6914
16,0,0.49,3,7,24,0.670337739,337.08,1,1003200,4,6455
9,0,0.23,2,18,36,0.475036711,333.9,1,818400,3,10209
6,1,0,2,26,52,0.315712188,375.24,1,1100000,3,11541
11,0,0.37,3,10,62,0.5969163,334.96,1,880000,3,8721
8,0,0.68,7,28,45,0.567547724,364.64,1,1170400,3,11981
7,1,0.26,2,31,133,0.382525698,328.6,0,1091200,3,4005
10,0,0.5,2,20,121,0.611600587,341.32,1,818400,2,2931
9,1,0.19,3,15,62,0.646842878,348.74,1,844800,2,4902
8,0,0.2,3,8,34,0.685022026,357.22,0,792000,2,12481
8,1,0.12,2,17,63,0.508810573,334.96,1,862400,2,878
10,0,0.24,3,20,55,0.582232012,321.18,1,915200,3,4143
7,1,0.06,6,5,13,0.538179148,351.92,1,844800,3,10975
7,1,0.03,2,10,17,0.380323054,355.1,1,906400,3,9854
10,0,0.52,7,6,20,0.839207048,346.62,1,888800,2,10903
9,0,0.37,2,43,77,0.393538913,326.48,1,915200,3,4760
7,1,0.06,2,9,89,0.542584435,368.88,1,862400,2,12118
10,0,0.38,2,27,39,0.435389134,332.84,1,1126400,4,4197
6,0,0.4,1,8,32,0.323788546,356.16,1,968000,3,12039
11,1,0.37,2,11,35,0.662995595,336.02,1,809600,1,4857
7,1,0.03,3,7,13,0.450073421,368.88,1,924000,2,11257
9,0,0.53,2,14,28,0.284140969,346.62,1,985600,2,12136
6,1,0.06,2,29,35,0.401615272,349.8,1,818400,2,7795
6,0,0.26,2,13,24,0.457415565,375.24,1,968000,2,6049
7,0,0.24,2,27,51,0.470631424,361.46,1,836000,3,2037
7,1,0.32,6,51,124,0.522026432,356.16,1,836000,2,4481
9,1,0.11,3,9,28,0.640969163,350.86,1,871200,3,2798
7,1,0.08,4,6,29,0.633627019,357.22,1,888800,2,12349
11,0,0.49,3,20,49,0.662995595,333.9,1,880000,3,4778
8,1,0.03,2,4,11,0.430249633,358.28,1,880000,2,5565
8,0,0.31,2,13,57,0.464757709,343.44,1,880000,3,2031
6,1,0,2,5,27,0.288546256,371,1,985600,4,6111
9,1,0.24,3,9,86,0.646842878,354.04,1,836000,2,7504
11,0,0.58,2,6,19,0.582232012,350.86,1,880000,2,8626
9,0,0.5,2,9,20,0.347283407,346.62,1,1100000,4,425
14,0,0.79,14,22,54,0.831864905,319.06,1,1038400,4,11569
6,0,0.78,4,6,113,0.486049927,351.92,1,818400,2,7511
10,1,0.23,2,6,48,0.72907489,339.2,1,915200,3,11106
13,0,0.49,3,17,64,0.732745962,328.6,1,827200,4,5421
8,0,0.44,3,6,10,0.508810573,358.28,1,844800,3,9564
11,1,0.67,2,12,49,0.538179148,336.02,1,862400,3,6595
8,0,0.68,8,26,129,0.530837004,319.06,1,774400,2,5101
10,1,0.28,3,15,37,0.579295154,342.38,1,924000,3,4243
8,1,0.02,1,10,28,0.420704846,345.56,1,880000,3,10210
8,0,0.19,2,10,49,0.516152717,340.26,1,844800,3,8104
8,1,0.08,2,14,57,0.535242291,354.04,1,827200,3,4501
7,1,0.08,2,14,24,0.257709251,360.4,1,1003200,3,1306
8,1,0.02,3,14,31,0.403817915,372.06,1,1020800,4,6758
6,1,0.23,2,11,49,0.420704846,372.06,1,976800,3,4690
6,0,0,2,25,94,0.053597651,371,1,1188000,3,414
6,0,0.08,2,18,44,0.290014684,365.7,1,1029600,3,3414
8,0,0.23,2,16,47,0.435389134,356.16,0,827200,1,4407
8,1,0.11,2,11,44,0.417767988,362.52,1,994400,1,2007
9,0,0.38,2,10,31,0.298825257,351.92,1,968000,3,3528
9,1,0.15,2,25,48,0.501468429,333.9,1,836000,2,5758
10,0,0.24,3,20,55,0.662995595,333.9,1,827200,3,11832
7,1,0.54,4,3,10,0.508810573,344.5,1,968000,2,11956
13,0,0.54,3,5,21,0.737885463,336.02,1,897600,3,7972
8,0,0.4,2,8,18,0.313509545,339.2,1,1038400,4,6441
9,0,0.4,1,3,8,0.347283407,330.72,1,1047200,3,9551
7,1,0.1,2,16,49,0.52349486,334.96,1,792000,2,4058
8,0,0.51,2,9,26,0.486784141,356.16,1,888800,4,11319
8,1,0.23,2,20,66,0.398678414,354.04,0,836000,2,7770
10,0,0.58,2,7,29,0.567547724,337.08,1,959200,4,6658
10,0,0.42,2,11,19,0.563142438,340.26,1,924000,2,2633
8,1,0.05,2,8,12,0.457415565,360.4,0,1020800,2,6781
7,0,0.11,1,30,61,0.426578561,341.32,1,809600,2,75
7,1,0.09,4,6,48,0.685022026,366.76,1,897600,2,8181
7,1,0.04,2,13,31,0.363436123,355.1,1,888800,3,11955
7,0,0.09,2,3,14,0.334067548,358.28,0,836000,2,5212
8,0,0.26,2,19,65,0.516152717,334.96,1,800800,2,2311
10,0,0.58,3,5,20,0.640969163,346.62,1,932800,2,6021
10,0,0.46,2,26,88,0.5969163,345.56,1,809600,2,10790
7,1,0.02,2,17,42,0.464757709,354.04,0,968000,3,11851
9,1,0.14,3,11,23,0.572687225,337.08,1,924000,3,10777
9,1,0.3,3,24,143,0.5969163,345.56,1,836000,2,3219
10,0,0.47,2,6,20,0.563142438,332.84,1,880000,2,3236
8,1,0.23,2,17,96,0.406020558,359.34,1,862400,2,10546
9,1,0.1,2,25,66,0.501468429,339.2,1,862400,2,5821
9,1,0,1,24,44,0.552863436,352.98,1,836000,3,7622
7,1,0.31,2,26,48,0.378120411,343.44,1,985600,3,12458
8,1,0.1,6,11,108,0.522026432,339.2,1,862400,2,753
12,0,0.5,2,13,28,0.420704846,331.78,1,959200,4,2889
7,1,0.05,6,8,28,0.300293686,359.34,1,985600,3,11723
9,1,0.17,3,25,105,0.598384728,345.56,1,897600,3,12092
9,1,0.02,2,4,12,0.401615272,349.8,0,853600,2,3627
6,0,0.21,2,24,69,0.21071953,352.98,1,1020800,3,601
8,1,0.18,7,29,52,0.666666667,371,1,880000,3,3020
8,1,0.06,2,5,19,0.450073421,345.56,1,897600,3,9045
10,1,0.66,5,5,24,0.743759178,344.5,1,1056000,3,1540
7,1,0,2,40,55,0.355359765,363.58,0,871200,2,8009
8,1,0.29,2,31,141,0.464757709,344.5,1,871200,2,7670
8,1,0.06,2,5,18,0.450073421,358.28,0,959200,2,1338
7,1,0.09,2,24,89,0.450073421,351.92,0,818400,1,3922
10,1,0.27,2,26,56,0.662995595,351.92,1,897600,2,5955
9,1,0.14,2,25,42,0.501468429,332.84,1,853600,2,4747
9,1,0.34,1,4,8,0.386930984,337.08,1,1003200,3,2268
10,0,0.56,2,3,8,0.339941263,333.9,1,1012000,2,11112
7,1,0.06,2,15,31,0.378120411,362.52,1,844800,3,10942
11,0,0.47,3,21,89,0.611600587,336.02,1,827200,2,1254
7,0,0.49,2,6,13,0.294419971,348.74,1,985600,3,2321
10,0,0.49,2,5,12,0.685022026,345.56,1,906400,2,4813
8,0,0.2,8,37.5,82,0.599853157,365.7,1,844800,3,701
9,0,0.49,2,23,83,0.552863436,348.74,1,836000,2,11795
8,0,0.38,2,10,29,0.494126285,361.46,1,932800,4,10617
7,0,0.18,2,7,34,0.285609398,352.98,1,1003200,3,5763
9,1,0.04,2,19,27,0.351688693,337.08,1,862400,2,4316
16,1,0.68,3,6,32,0.670337739,325.42,1,950400,3,10976
11,0,0.58,4,5,15,0.582232012,344.5,1,1012000,3,3543
10,0,0.44,2,22,51,0.5969163,327.54,1,844800,3,10530
6,1,0,2,15,33,0.315712188,365.7,1,1100000,3,11264
5,1,0,2,16,46,0.184287812,369.94,0,1073600,3,10196
7,0,0.28,2,36,100,0.472099853,339.2,1,871200,4,2928
9,0,0.53,2,16,60,0.486784141,325.42,1,792000,2,3978
8,1,0.24,3,17,54,0.567547724,354.04,1,844800,2,1039
7,0,0.04,2,9,18,0.398678414,362.52,1,915200,2,5746
8,1,0.09,4,11,41,0.584434655,348.74,1,800800,3,5701
9,0,0.31,2,13,23,0.417767988,352.98,1,1038400,4,6681
11,0,0.48,2,10,24,0.618942731,322.24,1,818400,3,11192
8,0,0.27,2,29,65,0.497797357,357.22,1,827200,2,6050
6,0,0.43,2,18,37,0.104992658,352.98,1,1232000,3,8293
7,1,0.12,2,32,44,0.444199706,362.52,1,968000,3,3468
11,0,0.49,3,5,10,0.510279001,339.2,1,968000,3,9256
10,0,0.55,2,12,25,0.604258443,337.08,1,836000,2,1936
9,0,0.45,3,11,27,0.445668135,354.04,1,1056000,3,9916
10,0,0.56,2,5,14,0.478707783,341.32,1,1012000,4,2286
7,0,0.18,3,7,11,0.508810573,348.74,1,985600,1,6711
9,0,0.21,2,57,74,0.57195301,315.88,0,827200,2,3026
9,1,0.22,3,29,52,0.685022026,328.6,1,836000,1,1590
6,0,0,2,15,28,0.27753304,354.04,1,1029600,3,9937
5,1,0,1,15,21,0.284875184,397.5,1,1003200,1,8211
12,0,0.54,2,5,16,0.633627019,329.66,1,959200,3,12010
8,1,0.24,2,5,20,0.450073421,347.68,1,836000,3,4890
7,1,0.26,3,17,91,0.613069016,391.14,1,853600,3,10479
10,1,0.19,11,55,109,0.626284875,336.02,1,809600,2,2766
8,1,0.28,2,15,55,0.567547724,359.34,1,836000,2,3873
6,0,0,1,18,44,0.331864905,377.36,1,985600,3,3720
7,1,0.03,2,36,52,0.420704846,363.58,0,994400,3,4213
8,1,0.06,4,27,108,0.398678414,351.92,1,924000,2,1129
9,0,0.4,2,3,8,0.33113069,330.72,0,1117600,4,11171
9,1,0.31,3,23,147,0.595447871,343.44,1,836000,2,527
12,1,0.66,3,6,43,0.685022026,321.18,1,932800,2,1625
10,0,0.54,2,22,149,0.611600587,337.08,1,809600,2,11669
8,1,0.03,4,51,73,0.482378855,338.14,1,862400,2,7618
9,1,0,3,11,28,0.640969163,364.64,1,968000,3,11752
9,0,0.52,3,6,16,0.473568282,333.9,1,844800,2,10354
8,0,0.68,3,5,13,0.508810573,340.26,1,1073600,3,7543
7,1,0.14,2,9,20,0.48825257,368.88,1,792000,3,1504
10,1,0.19,3,17,34,0.802496329,343.44,1,871200,3,9317
10,0,0.34,2,28,133,0.665932452,351.92,1,888800,3,6662
10,1,0.19,6,20,34,0.919970631,343.44,1,836000,1,1413
